,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
51,"Please note this message may contain information that some may find upsetting. 
 On 11-28-2021 22:28:00, an arson occurred at South Side of People's Park. 
 On 1/28/2021 at approx. 2228 hours a subject gathered up a small pile of clothes and miscellaneous items and set them on fire in close proximity to occupied tents on the south side of People's Park. The subject then fled the area on foot. The subject was last seen northbound through the park towards Haste St.",Arson Reported at South Side of People's Park - Please note this message may contain information that some may find upsetting.,"Nov 28, 2021 22:53:20 PST",Timely Warning ,Arson,None,Block,People's Park,none,none,none,Address / Specific Named,People's Park,Memorable detail,none,"No Race, Gender Neutral",,,,,,,,,,
52,"Please note this message may contain information that some may find upsetting. 
 On 11-29-2021 14:15:00, a burglary occurred at Dwinelle Hall. 
 On 11/29/2021 at approx. 1415 hours a burglary occurred in Dwinelle Hall. The suspect entered an unlocked office and stole a portfolio case that contained a laptop computer. The office was unoccupied at the time of the theft. The suspects matched the description of the suspect in a previous burglary that occurred at Evans Hall earlier in the month",Burglary at Dwinelle Hall,"Nov 30, 2021 05:05:07 PST",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",,,,,,,,,,
53,"Please note this message may contain information that some may find upsetting. 
 On 12-01-2021 16:30:00, a robbery occurred at Ellsworth parking structure - 2309 Haste Street. 
 On 12/01/2021 at approximately 1630 hours, three suspects were located inside the Ellsworth parking structure - 2309 Haste Street (UC Berkeley property). They were in the process of stealing a catalytic converter from a parked vehicle when the victim approached the vehicle. One of the suspects pulled a handgun on the victim before fleeing the scene. 
 UCPD case#21-02084",Violent Crime Reported at Ellsworth parking structure - 2309 Haste Street - Please note this message may contain information that some may find upsetting.,"Dec 01, 2021 17:48:20 PST",Timely Warning ,Robbery,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
54,UC Berkeley WarnMe: Police activity at AAPB/KROEBER HALL. AVOID THE AREA EVACUATE BUILDING until further notice.,UC Berkeley WarnMe: AVOID THE AREA EVACUATE BUILDING of AAPB/KROEBER HALL,"Dec 11, 2021 15:07:08 PST",Emergency Notification,Incident: Police Activity,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,,,,,,,,,,
55,"Please note this message may contain information that some may find upsetting. 
 On 12-11-2021 14:51:00, an arson occurred at Anthropology and Art Practice Building. 
 Unidentified suspect was seen at the Anthropology and Art Practice Building (The old Kroeber Hall) maliciously setting fire to a displace case within the North/East side of the building. Suspect is described as a white female, about 6'0"", thin build, black hair, wearing a purple jacket, black shorts, black boots, and last seen fleeing the scene on a bicycle to the south campus area.",Arson Reported at Anthropology and Art Practice Building - Please note this message may contain information that some may find upsetting.,"Dec 11, 2021 15:49:38 PST",Timely Warning ,Arson,None,Address / Specific Named,Memorable detail,Reconstructed Scenario,none,"Race, Gender",Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"Race, Gender",,,,,,,,,,
56,UC Berkeley WarnMe: ALL CLEAR at AAPB/KROEBER HALL.,UC Berkeley WarnMe: UPDATE ALL CLEAR AT AAPB/KROEBER HALL,"Dec 11, 2021 17:39:24 PST",All Clear,Incident: Police Activity,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,,,,,,,,,,
57,"Please note this message may contain information that some may find upsetting. 
 On 12-18-2021 11:48:00, a robbery occurred at 2495 Bancroft Way (Student Store). 
 An unidentified suspect entered 2495 Bancroft way (UC Berkeley Student Store) and stole over $1000 worth of clothing. In the process of the theft, a UC Berkeley student store employee attempted to stop the suspect but was battered in the process. The student store employee denied medical and suspect is still outstanding. Suspect is described as a African American Male, 5'9"", Thin build, wearing a green beanie and black/red sweat pants.",Violent Crime Reported at 2495 Bancroft Way (Student Store) - Please note this message may contain information that some may find upsetting.,"Dec 18, 2021 14:41:05 PST",Timely Warning ,Robbery,None,Address / Specific Named,Touch ,Reconstructed Scenario,none,"Race, Gender",Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Race, Gender",,,,,,,,,,
58,"Please note this message may contain information that some may find upsetting. 
 On 12-28-2021 20:45:00, an aggravated assault occurred at People's Park. 
 Victim was assaulted inside people's park, transported to the hospital with serious injuries.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Dec 28, 2021 21:48:52 PST",Timely Warning ,Aggravated Assault,None,Block,People's Park,Touch ,none,none,Address / Specific Named,People's Park,none,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
59,UC Berkeley WarnMe: 07:35:44 01-15-2022 A MANDATORY evacuation order due to a Tsunami warning. People living in the Marina area need to evacuate immediately. Waves and strong currents are expected.,UC Berkeley WarnMe: 07:35:44 01-15-2022 MANDATORY evacuation order due to Tsunami warning,"Jan 15, 2022 07:35:45 PST",Emergency Notification,Incident: Environmental / Weather,None,Radius / Area,Safety Instructions / Tips,Memorable detail,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,,,,,,,,,,
60,"UC Berkeley WarnMe: 09:24:37 01-18-2022 There has been a surge in positive COVID-19 cases on campus over the last two weeks, as expected. With the high transmissibility of the omicron variant and the return of more students and staff to campus, we anticipate that the number will continue to increase through January. 
 You’re reminded to continue to follow requirements for being on campus, including wearing face coverings while indoors and staying home when sick. Please also review the information on what to do if you test positive.",UC Berkeley WarnMe: 09:24:37 01-18-2022 COVID 19 Surge,"Jan 18, 2022 09:24:37 PST",Timely Warning ,Incident: Covid,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,Safety Instructions / Tips,none,none,,,,,,,,,,
61,"Please note this message may contain information that some may find upsetting. 
 On 01-18-2022 16:50:00, an aggravated assault occurred at Haas School of Business. 
 Victim was assaulted via push to the back in an unprovoked attack on the south side of Haas School of Business, causing injuries to his face.",Violent Crime Reported at Haas School of Business - Please note this message may contain information that some may find upsetting.,"Jan 18, 2022 17:38:53 PST",Timely Warning ,Aggravated Assault,None,Radius / Area,Touch ,Reconstructed Scenario,"Gender, No Race",none,Address / Specific Named,Reconstructed Scenario,Touch ,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
62,"Please note this message may contain information that some may find upsetting. 
 On 01-18-2022 at 16:50:00, an aggravated assault occurred at Haas School of Business. 
 Update to earlier aggravated assault: UCPD believes the pictured individual was likely responsible for three assaults on campus in the past 24 hours. All of these attacks were unprovoked. Please use caution if you see this person and call UCPD if you can do so safely.",Violent Crime Reported at Haas School of Business - Please note this message may contain information that some may find upsetting.,"Jan 18, 2022 18:50:21 PST",Timely Warning ,Aggravated Assault,None,Radius / Area,Touch ,Safety Instructions / Tips,none,"Race, Gender",Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
63,"Thanks to the community's vigilance, UCPD Berkeley Officers located and arrested the alleged suspect in three unprovoked attacks on the UC Berkeley campus last week. The alleged suspect has now been charged.",Community Message - Community Tip Leads to Arrest,"Jan 27, 2022 09:52:00 PST",Community Advisory ,None,None,All campus,Touch ,Memorable detail,none,none,All campus,Safety Instructions / Tips,Memorable detail,none,"No Race, Gender Neutral",,,,,,,,,,
64,"Please note this message may contain information that some may find upsetting. 
 On 01-28-2022 01:00:00, an aggravated assault occurred at 2439 Durant Ave, Berkeley. 
 A female student initially was involved in a verbal argument with a group of three females inside the location. The argument turned physical when the group of three females kicked and punched the victim while they were in line for the restroom. The female student went outside and was confronted again by the same group of three females. The group punched and kicked the victim again. The Berkeley Police Department was contacted and the victim was cleared by BFD at her residence (Unit 2). BPD case #22-4263.","Violent Crime Reported at 2439 Durant Ave, Berkeley - Please note this message may contain information that some may find upsetting.","Jan 28, 2022 03:11:48 PST",Timely Warning ,Aggravated Assault,None,Address / Specific Named,Touch ,Reconstructed Scenario,"Gender, No Race","Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,"Gender, No Race","Gender, No Race",,,,,,,,,,
65,"Please note this message may contain information that some may find upsetting. 
 On 02-07-2022 19:15:00, an arson occurred at University Village Albany, Little league Baseball fields. 
 On February 7, 2022 at approx. 1915 hours UCPD responded to a grass fire at the University Village Albany, Little league Baseball fields. Upon arrival, Albany Fire Department had extinguished the fire and the Fire Officer informed UCPD that the fire appeared to be set intentionally. Further investigation found that 2 nearby buildings had also been burglarized. There is evidence that the two crimes are related. Suspects seen fleeing the area on foot westbound.","Arson and Burglary Reported at University Village Albany, Little league Baseball fields - Please note this message may contain information that some may find upsetting.","Feb 07, 2022 20:23:53 PST",Timely Warning ,Arson,Burglary,Radius / Area,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"No Race, Gender Neutral",,,,,,,,,,
66,"Please note this message may contain information that some may find upsetting. 
 On 02-08-2022 12:00:00, a robbery occurred at Octagon (bridge over strawberry creek). 
 The victim reported a strong-arm attempt robbery of the box they were holding while located on the octagon bridge on the main UC Berkeley campus. The victim said the suspect ran off without the package when they screamed.",Violent Crime Reported at Octagon (bridge over strawberry creek) - Please note this message may contain information that some may find upsetting.,"Feb 08, 2022 16:52:35 PST",Timely Warning ,Robbery,None,Radius / Area,Reconstructed Scenario,Touch ,none,none,Radius / Area,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
67,"Please note this message may contain information that some may find upsetting. 
 Community Advisory: Electric Scooter Thefts 
 With the start of the Spring semester, we are once again seeing an increase in the theft of electric scooters on and near campus. Scooters are considered motor vehicles and need to be secured to prevent theft. 
 Here are some precautions you can take to deter theft:
 -Always lock up your scooter. -Use a high quality U-lock affixed between the scooter stem and the deck to secure the frame to the bike rack. 
 -Leave your scooter in a visible, well-lighted area.
 -When possible, do not leave scooters out overnight or for extended periods. 
 -Keep a record of your serial number in case of theft.
 -If your electric scooter is stolen",Community Advisory - Please note this message may contain information that some may find upsetting.,"Feb 15, 2022 17:21:44 PST",Community Advisory ,Motor Vehicle Theft,None,All campus,Safety Instructions / Tips,Memorable detail,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
68,"Please note this message may contain information that some may find upsetting. 
 On 02-18-2022 00:10:00, a robbery occurred at 2434 Haste St and Haste/Ellsworth St. 
 On 2/18/22 at approximately 0010 hours two armed robberies occurred via gun by the same group of individuals. The 1st robbery occurred on the 2400 block of Haste St, taken was a purse. The 2nd robbery occurred in the area of Haste/Ellsworth, unknown what was taken. There were three suspects that were in a vehicle. A rear passenger exited the vehicle and approached the victims with a black handgun. The suspects left the area westbound on Haste St.",Violent Crime Reported at 2434 Haste St and Haste/Ellsworth St - Please note this message may contain information that some may find upsetting.,"Feb 18, 2022 00:37:23 PST",Timely Warning ,Robbery,None,Radius / Area,Reconstructed Scenario,Memorable detail,none,none,Radius / Area,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
